"","geo_type","region","transportation_type","alternative_name","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-18","2020-01-19","2020-01-20","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03"
"49","country/region","Greece","driving","Ελλάδα",100,100.63,100.57,100.6,110.76,113.18,106.76,96.02,95.5,98.73,97.72,108.81,112.89,108.84,95.89,95.58,98.33,102.87,112.72,116.08,112.42,95.67,97.46,96.64,103.46,121.1,119.98,116.73,102.6,104.28,106.66,108.1,123.56,123.65,121.23,117.92,123.39,116.34,121.1,118.04,121.53,114.37,104.15,104.31,105.83,107.2,120.29,115.89,113.79,139.75,98.77,99.65,101.98,103.73,104.86,106.74,94.91,88.49,84.96,73.95,66.02,49.1,39.41,38.82,38.03,33.31,32.44,33.88,30.34,30.72,20.78,21.02,18.59,22.02,21.94,21.02,21.57,26.27,25.8,24.73,27,25.38,19.88,19.7,25.73,26.6,28.36,28.75,30.09,26.91,26.99,31.93,32.78,32.52,32.87,31.6,24.09,18.99,23.12,31.03,31.35,32.67,34.04,30.79,31.34,36.17,37.29,38.28,37.35,30.23,32.97,36.81
"51","country/region","Hong Kong","driving","香港",100,106.79,111.3,116,138.02,129.52,116.02,118.3,114.27,108.7,95.34,82.73,75.22,77.2,71.15,69.52,68.28,65.19,65.86,65.95,63.83,66.47,67.04,60.53,64.82,73.26,68.55,69.67,64.46,64.37,63.81,68.84,79.4,69.28,63.47,67.26,69.49,67.52,69.97,80.37,79.72,72.64,62.77,59.14,63.84,67.23,77.09,80.09,70.97,67.4,68.29,67.38,67.34,76.98,75.58,67.89,68.7,69.99,66.71,64.05,74.9,75.89,66.07,61.66,59.13,59.36,59.17,66.21,60.63,60.88,56.57,56.44,54.05,55.9,58.81,47.81,48.82,49.66,50.5,49.8,49.85,54.58,46.96,48.71,52.01,56.01,55.89,56.51,53.53,51.98,53.91,51.93,52.19,52.16,53.58,60.48,56.29,53.24,52.94,49.99,49.13,50.82,58.65,56.58,57.33,57.44,59.31,67.03,65.99,69.66,64.16,60.75
"53","country/region","Hungary","driving","Magyarország",100,100.89,103.13,106.74,119.57,111.98,100.08,99.79,99.22,101.49,108.57,120.08,114.68,100.38,99.38,100.36,101.38,104.59,120.41,120.99,108.44,103.11,103.75,107.9,110.58,127.22,125.31,113.24,107.4,108.79,112.34,123,142.05,137.99,120.76,115.33,116.53,118.15,121.46,137.21,133.62,119.17,111.98,113.21,112.38,114.67,125.99,119.91,106.2,104.57,107.28,107.74,114.05,129.49,122.28,107.74,103.48,101.59,97.53,93.39,93.01,78.78,71.09,64.95,58.26,55.33,54.66,55.61,39.15,36.07,40.79,43.23,43.61,46.11,55.78,36.55,39.59,42.85,46.81,47.83,50.67,54.44,49.08,50.09,54.22,57.83,61.81,61.82,46.85,42.64,35.85,43.02,56.56,58.74,60.71,62.89,53.12,48.86,58.21,59.45,62.24,62.15,65.81,55.45,56.99,62.19,65.63,65.04,69.08,57.11,59.23,61.26
"55","country/region","Iceland","driving","Ísland",100,107.33,113,114.84,135.74,135.06,108.76,106.44,109.04,104.02,98.62,131.83,132.81,118.67,112.99,110.48,113.17,119.45,148.12,148.89,125.84,115.34,120.31,124.53,135.36,153.76,155.16,134.15,120.87,130.44,124.44,129.68,108.57,155.2,137.71,143.23,138.34,141.17,152.04,162.66,168.43,140.17,126.51,123.6,122.89,135.48,164.21,173.18,133.55,137.12,133.23,130.81,141.71,166.05,157.89,136.76,125.93,129.5,117.99,109.65,124.53,114.42,86.1,76.9,73.4,69.04,63.75,63.27,51.09,31.55,45.84,46.72,42.25,46.05,57.76,58.44,45.01,49.33,51.03,55.04,61,66.74,46.44,27.41,56.35,61.96,79.2,53.58,41.42,62.21,34.74,40.16,61.01,61.67,58.6,71.11,53.42,45.91,57.68,59.72,69.8,56.23,74.68,79.72,62.12,64.58,68.22,70.14,88.53,81.9,85.74,66.32
"57","country/region","India","driving","भारत",100,102.35,107.96,110.77,120.64,136.84,122.4,106.83,101.75,103.08,101.67,113.52,125.46,116.77,106.81,106.16,114.93,115.4,122.46,131.49,119.28,108.72,111.32,105.92,110.8,126.79,137.98,133.39,109.32,108.38,115.12,115.6,136.8,141.22,134.78,110.74,109.83,111.83,119.25,126.09,132.79,125.45,112.01,121.54,118.45,115.22,124.07,130.42,120.68,108.04,102.79,105.28,105.2,118.4,128.65,112.75,93.18,94.54,101.21,97.05,101.01,107.66,97.37,85.91,81.34,78.24,69.53,63.43,45.24,32.67,40.44,25.3,21.93,21.22,21.93,21.92,21.19,19.22,17.86,17.67,16.99,16.72,16.58,16.3,16.69,16.78,17.34,17.25,17.56,17.28,17.28,17.49,18.73,18.56,18.04,17.94,17.79,18.96,19.07,18.62,18.23,18.62,18.92,18.17,18.21,19.22,19.11,19.77,20.75,21.51,22.15,24.11
"59","country/region","Indonesia","driving","Indonesia",100,100.95,103.17,103.49,127.22,135.77,109.68,103.62,101.54,106.06,110.31,142.98,144.2,116.83,105.27,105,102.55,100.66,129.64,147.18,117.4,103.69,103.6,105,106.75,131.57,145.83,112.79,103.37,102.29,102.07,107.27,133.75,142.78,109.17,98.27,96.71,103.73,107.9,134.18,142.24,107.99,102.07,99.4,98.92,100.77,129.12,143.34,110.82,97.69,95.87,97.14,102.06,130.82,139.89,106.16,96.88,96.96,96.2,93.03,114.99,116.88,87.76,77.54,72.22,67.97,62.5,66.39,64,51.47,46.59,40.72,39.29,39.48,43.74,42.48,40.44,39.72,40.62,42.03,41.87,43.66,45.19,42.23,41.82,41.97,41.76,41.47,42.66,42.26,41.82,42.14,42.52,42.33,41.52,42.84,45.05,42.91,43.57,43.07,43.8,38.26,36.46,37.51,39.16,37.98,37.93,39.8,40.88,42.83,42.85,43.29
"61","country/region","Ireland","driving",NA,100,113.54,113.02,123.29,127.76,130.2,116.27,115.13,116.94,119.09,120.16,131.57,139.57,119.13,109.41,111.59,117.47,120.01,138.74,141.94,120.11,107.74,114.74,115.79,119.08,138.66,136.41,105.52,108.86,111.78,120.17,122.45,148.33,136.51,123.27,129.51,133.33,137.54,142.65,157.03,141.99,120.65,113.98,114.18,120.71,126.33,141.19,127.32,122.75,121.44,125.08,124.54,126.59,142,142.49,128.59,117.1,109.29,106.08,92.88,89.47,80.93,69.95,61.82,54.96,54.48,56.76,60.7,51.39,59.8,46.17,44.57,43.56,43.93,60.93,32.65,24.21,28.42,28.76,28.86,29.19,31.41,26.47,22.99,29.75,32.72,33.68,32.6,31.38,27.02,19.52,24.78,31.97,32.6,34.27,35.65,29.82,28.07,36.79,36.06,35.8,35.99,37.2,31.58,27.19,34.49,36.28,35.55,36.07,48.99,38.35,31.5
"64","country/region","Israel","driving","ישראל",100,102.65,102.91,112.6,85.85,90.93,96.24,95.49,100.28,99.96,106.01,80.56,91.75,100.63,98.91,99.18,99.96,106.8,82.63,91.83,105.09,99.37,99,98.11,109.61,81.78,87.9,98.26,103.06,103.71,110.16,124.07,102.57,112.53,111.74,112.46,113.76,106.5,125.17,103.55,100.16,112.64,110.16,113.75,110.88,124.42,100.19,96.91,113.45,119.92,104.73,105.8,110.9,83.08,91.15,102.68,104.92,99.57,91.09,73.96,49.51,53.12,62.36,62.01,43.3,38.28,36.98,25.79,29.13,40.04,39.23,41.29,41.27,35.53,26.03,26.94,36.18,34.92,33.99,34.55,36.53,26.88,27.74,42.06,45.65,43.95,20.78,22.25,25.6,29.77,43.85,42.17,28.91,27.46,44.25,35.64,39.44,52.23,49.3,52.6,55.38,57.09,36.2,42.11,60.76,53.28,41.87,36.26,61.72,47.36,52.59,69.01
"66","country/region","Italy","driving","Italia",100,102.63,105.41,106.18,114.69,127.45,110.65,102.59,103.94,106.67,107.02,119.01,126.85,109.51,99.61,102.59,104.68,105.67,114.35,125.55,111.41,100.52,101.89,103.77,105.58,119.19,129.46,117.1,104.55,108.02,112.5,116.51,139.93,145.29,132.32,110.43,112.72,118.28,120.67,135.58,139.43,114.78,98.2,92.5,89.15,90.16,97.78,100.27,83.48,81.65,85.76,84.99,82.37,84.73,84.19,68.71,54.84,37.32,30.97,23.12,21.55,16.85,15.92,19.58,19.4,19.1,19.82,19.94,16.88,13.22,17.28,17.79,17.69,17.16,17.89,16.53,13.89,17.83,18.85,18.92,19.69,20.08,18.14,15.64,19.96,21.51,23.02,23.97,25.06,22,12.66,15.13,21.84,23.68,24.21,24.65,22.42,19.4,22.62,24.26,25.1,26.26,27.09,21.75,22.82,26.3,27.48,28.7,28.34,22.26,26.67,28.53
"69","country/region","Japan","driving","日本",100,97.94,99.14,103.16,123.15,130.54,104.44,100.01,99.73,99.02,102.76,129.78,131.34,101.47,94.7,99.11,101.33,101.75,128.05,132.95,106.91,103.28,103.66,103.12,105.07,132.39,148.54,120.49,128.3,112.01,109.2,110.99,134.71,131.54,114.42,111.43,111.19,112.58,116.79,140.56,161.69,142.83,116.21,107.01,107.46,103.29,112.22,114.58,103.92,105.91,103.24,106.01,110.8,122.87,115.69,113.65,108.76,116.12,117.83,115.47,123.4,133.14,120.19,119.97,123.25,127.56,152.83,161.59,148.75,127.72,124.82,128.24,128.82,121.43,122.59,111.03,111.53,105.3,97.79,98.41,99.61,107.26,97.79,91.93,87.35,83.74,81.2,79.75,85.41,69.08,67.85,74.14,78.43,77.49,73.73,67.08,72.91,67.95,70.73,70.45,69.58,70.42,74.9,67.8,68.85,70.05,69.1,73.08,75.34,78.43,72.08,69.96
"72","country/region","Latvia","driving","Latvija",100,100.86,103.78,106.99,117.63,117.49,103.15,102.24,102.12,103.22,103.71,122.65,124.21,103.64,100.15,99.27,104.75,104.33,120.46,115.39,100.69,102.88,105.67,102.77,106.85,125.66,129.95,110.71,104.18,116.77,116.46,115.91,146.66,134.01,110.55,108.26,109.37,107.69,114.64,134.09,127.43,109.67,109.16,105.86,106.2,113.13,134.46,122.41,100.84,98.53,106.91,103.35,112.68,128.26,125.94,108.47,99.05,101.3,97.94,81.05,86.18,74.49,74.55,63.64,62.99,55.92,65.05,63.25,63.43,60.66,55.75,56.89,62.11,64.77,74.1,77.67,50.3,49.27,52.13,50.21,54,58.76,63.77,70.48,71.02,78.75,78.18,70.06,72.83,69.72,46.42,55.04,58.11,63.09,61.69,68.54,74.24,70.24,65.96,73.26,78.78,76.29,78.77,81.06,73.13,71.92,72.38,76.82,89.74,97.14,72.42,83.73
"74","country/region","Lithuania","driving","Lietuva",100,98.15,102.22,107.33,120.05,112.07,96.12,99.92,101.45,103.11,105.19,123.64,115.89,94.54,97.08,101.54,100.93,100.78,118.84,108.72,98.1,98.55,104.1,105.18,109.32,127.25,115.79,103.09,105.11,106.4,107.55,115.47,140.21,123.28,105.49,112.58,117.64,119.31,122.03,133.66,123.23,98.97,104.49,102.21,106.77,106.6,118.77,103.25,95.49,97.86,101.25,101.6,107.58,126.28,118.82,99.15,98.9,109.73,95.15,84.7,92.53,70.39,63.46,52.73,55.8,50.65,51.37,55.04,51.11,45.06,46.78,50.06,50.34,53.24,58.89,63.49,40.55,45.98,48.14,48.26,46.12,54.14,57,58.35,60.23,67,65.58,62.11,58.47,34.02,27.11,38.32,56.29,56.9,62.38,69.63,63.54,60.89,65.05,66.66,72.72,77.46,82.51,72.23,69.65,71.41,75.05,74.24,86.29,86.19,75.11,75.74
"76","country/region","Luxembourg","driving",NA,100,98.06,95.12,103.03,100.71,87.19,75.75,96.94,96.91,95.07,97.63,100.48,84.33,73.95,95.47,95.18,95.32,95.53,98.69,87.22,77.85,96.56,95.01,99.11,100.32,100.54,87.95,69.59,96.96,102.13,103.62,101.41,110.86,89.15,74.07,89.04,91.02,87.1,88.19,100.62,82.6,72.98,92.77,94.01,91.08,137.89,98.98,89.82,76.01,96.58,93.73,96.23,105.27,97.48,87.76,73.26,88.76,89.18,83.72,74.98,77.71,53.82,46.81,57.07,43.03,33.2,28.48,26.93,18.2,18.43,23.72,23.6,24.68,24.33,25.91,22.38,18.85,24.77,25.34,26.12,25.73,26.81,24.12,23.27,27.85,28.18,29.56,30.05,31.95,27.54,21.48,22.79,30.44,30.74,31.88,33.99,29.02,30.16,35.24,38.63,38.65,39.6,40.1,34.56,35.22,47.34,44.67,44.89,41.54,30.43,35.52,40.15
"79","country/region","Macau","driving","澳門",100,110.99,115.14,118.61,157.14,153.88,139.85,155.84,144.2,108.73,81.69,58.19,47.32,37.96,31.9,31.78,32.35,31.3,31.22,28.96,28.43,26.99,23.42,22.34,20.68,22.01,21.56,22.76,24.75,23.08,24.63,26.93,26.9,22.82,23.45,27.02,30.36,31.17,32.58,29.4,33.53,30.74,29.22,31.85,33.26,31.51,33.99,35.35,34.93,34.58,33.98,29.46,32.68,35.88,36.28,37.21,33.38,36.61,34.8,28.43,34.23,38.92,32.51,28.16,25.4,25.54,25.43,25.17,27.18,25.86,25.08,24.7,26.06,27.56,26.48,26.3,25.66,23.19,21.99,20.75,23.65,23.18,24.23,23.43,24.66,28.06,24.88,26.51,25.04,26.3,27.14,26.75,25.2,23.56,25.86,29.16,30.37,26.97,27.16,26.63,23.09,24.89,25.9,32.13,28.13,26.53,26.17,31.11,34.02,31.14,32.47,29.69
"81","country/region","Malaysia","driving",NA,100,98.11,103.36,111.32,137.04,130.98,109.69,103.57,107.76,123.77,139.44,170.26,172.1,170.46,161.85,124.74,114.84,111.4,136.51,134.75,113.17,100.5,97.37,101.29,110.54,142.97,133.99,110.1,97.8,96.62,99.08,109.94,145.37,131.39,105.77,94.77,94.23,97.88,106.76,143.07,133.91,105.47,93.63,94.58,96.05,105.9,140.85,136.5,110,94.63,95.67,95.61,105.95,136.3,129.71,106.38,90.7,91.25,89.5,99.06,134.25,129.68,104.7,86.46,90.92,53.59,42.91,38.97,30.57,29.76,31.21,33.71,36.93,38.08,37.34,36.99,38.89,39.79,40.13,43.42,41.79,40.82,39.58,42.85,43.92,44.78,44.28,45.31,47.51,47.19,48.76,49.93,51.2,51.14,51.26,49.56,45.61,46.77,47.85,49.66,49.73,42.23,48.74,51.66,55.06,55.2,56.13,57.12,55.64,56.85,54.36,59.41
"83","country/region","Mexico","driving","México",100,100.53,102.35,106.06,127.97,134.25,93.02,99.86,98.24,98.54,103.06,125.88,132.98,91.64,95.34,95.59,97.85,103.95,131.82,138.16,97.29,92.83,97.7,96.65,102.16,123.82,132.78,91.93,98.9,101.42,103.35,114.35,152.62,148.02,103.95,104.15,103.08,104.29,109.57,135.59,146.51,104.9,101.38,99.87,100.1,103.94,131.15,141.72,96.36,94.55,96.33,98.55,103.76,129.77,142.61,96.45,82.96,98.22,99.53,102.63,132.65,142.31,97.35,80.27,75.86,68.46,65.28,69.84,62.58,41.83,46.66,44.21,42.82,44.2,49.05,49.65,35.04,41.52,41.5,41.39,41.34,46.09,45.68,33.35,39.47,40.31,42.44,38.8,35.13,37.77,32.18,39.94,40.05,41.18,41.56,47.31,47.11,35.21,41.68,40.67,41.72,42.08,46.53,47.25,35.53,41.58,42.99,45.62,51.32,47.31,51.89,39.33
"86","country/region","Morocco","driving","المملكة المغربية",100,99.8,101.5,108.9,121.4,143.32,131.57,125.79,130.38,135.43,135.24,140.48,146.61,131.6,106.67,104.64,105.64,105.87,114.12,134.8,125.96,107.51,107.27,113.29,109.6,121.23,140.21,130.78,110.68,110.07,114.3,113.72,128.88,146.06,129.27,117.5,119.15,118.34,121.35,127.93,144.15,134.85,113.4,114.4,114.98,117.64,132.97,145.77,135.07,108.98,108.42,114.44,109.68,124.89,137.16,122.44,103.66,103.35,102.38,96.79,98.86,100.34,74.76,60.04,47.18,41.46,34.18,30.68,17.58,14.92,16.38,15.65,16,15.28,15.79,13.43,13.29,16.03,16.51,16.11,16.09,16.32,16.83,13.94,16.13,16.87,17.35,16.76,17.62,16.1,16.78,18.45,17.09,17.91,17.13,17.69,17.94,16.81,21.17,19.68,21,20.43,19.85,15.74,13.84,17.6,17.69,18.2,19.67,18.69,19.51,16.85
"88","country/region","Netherlands","driving","Nederland",100,103.22,103.86,103.99,104.6,98.09,91.46,101.94,107.74,105.82,104.79,106.71,102.15,93.28,103.13,105.18,103.2,108.34,110.37,104.67,93.48,103.73,106.01,103.7,103.94,113.46,105.38,85.26,110.01,107.62,107.78,113.83,115.13,104.1,90.25,103.31,105.4,107.01,108.99,112.11,96.06,82.67,98,97.72,100.9,104.21,108.37,97.85,90.24,103.68,104.03,104.96,106.67,110.76,105.36,91.72,97.44,94.05,92.55,79.19,72.71,64.97,48.64,51.11,50.11,49.11,48.39,50.67,46.13,39,43.76,45.23,47.52,48.49,52.28,46.08,39.1,46.02,49.34,50.44,51.58,53.67,48.4,46.06,51.96,54.64,58.08,59.73,61.7,52.61,38.99,47.64,53.81,58.3,60.18,61.96,54.33,53.46,58.88,60.3,64.27,66.56,67.43,59.55,53,56.93,61.86,65.49,67.31,69.38,62.34,60.4
"91","country/region","New Zealand","driving",NA,100,102.94,105.58,115.94,107.02,97.92,101.9,103.19,106.85,109.24,128.77,115.17,100.11,103.33,102.37,102.63,103.61,110.78,105.37,91.13,98.12,108.51,119.93,100.48,112.09,107.56,104.48,104.59,110.32,112.65,114.02,135.42,118.38,103.9,107.75,110.15,112.45,115.93,127.27,116.53,105.16,103.24,108.05,110.38,112.87,120.26,111.59,98.86,97.36,101.53,104.21,105.76,117.9,111.65,97.25,97.97,97.82,101,101.58,110.32,103.76,87.15,84,79.91,80.12,76.21,80.46,68.01,55.18,62.7,61.24,47.6,15.98,14.39,11.5,11.1,14.53,15.58,16.47,16.2,16.41,13.63,12.7,16.14,17.09,18.02,19.08,12.05,15.28,11.66,12.05,16.53,16.98,17.32,17.49,14.61,13.15,16.88,18.24,19.53,19.97,21.57,16.95,16.29,17.68,48.2,47.15,44.28,46.83,39.17,28.4,39.73
"94","country/region","Norway","driving","Norge",100,98.43,102.34,105.02,122.49,113.46,114.54,98.58,98.9,102.31,105.37,120.93,113.67,114.26,98.53,99.58,101.29,103.96,121.18,114.8,121.29,99.55,97.63,102.9,105.99,126.73,123.15,126.38,104.17,105.06,109.65,113.14,139.76,128.46,120.93,113.44,111.35,119.43,122.75,131.05,123.29,139.77,105.9,105.34,110.26,108.6,122.45,116.55,116.36,100.98,102.48,106.28,112.1,124.82,111.53,118.28,96.35,93.88,86.81,80.56,73.72,59.14,51.2,56.73,54.58,54.07,55.82,58.87,55.9,53.79,59.29,57.57,59.26,62.82,64.12,61.53,58.65,67.54,69.14,70.62,71.62,76.72,64.39,63.56,81.79,82.87,79.99,71.7,68.83,57.14,65.55,76.24,76.83,80.47,81.25,87.04,84.42,86.32,90.86,91.42,92.76,95,95.99,86.21,93.6,89.08,92.22,97.11,110.62,91.74,94.68,105.28
"97","country/region","Philippines","driving","Philippines",100,100.24,103.21,103.05,118.16,106.21,102.14,96.36,99.39,98.52,107.16,133.99,112.1,102.12,92.9,91.66,91.15,90.35,102.45,95.24,86.73,83.64,82.17,81.29,87.72,107.52,96.73,88.15,83.01,84.3,84.8,90.36,114.94,100.02,91.69,86.92,88.97,86.9,90.84,108.61,102,93.46,95.18,86.95,83.34,84.11,105.69,94.34,85.29,78.76,78.13,77.74,82.83,102.67,93.65,80.64,71.25,67.78,60.2,53.63,63.58,48.06,36.39,35.76,30.72,26.86,23.55,21.6,20.26,19.89,19.51,18.94,18.71,18.52,18.06,17.67,17.98,17.56,17.71,17.1,17.45,17.31,17.06,19.37,19.05,20.37,18.2,17.37,18.34,18.02,19.83,19.55,20.04,19.37,19.94,19.23,17.85,18.39,18.03,18.95,18.37,18.43,18.18,18.09,19.46,19.93,20.3,19.99,21.36,20.64,19.64,21.42
